N,Dynamic,Greedy
10,0.002485976,0.000006804
50,0.011515568,0.000030075
100,0.023068709,0.000065804
500,0.116113123,0.000398241
1000,0.230908958,0.000883329
5000,1.184972862,0.005367050
10000,2.472764673,0.011743812
