N,Dynamic value,Greedy value
10,450,450
10,468,468
10,471,471
10,468,468
10,467,467
10,360,360
10,583,583
10,567,567
10,430,430
10,501,501
50,1861,1857
50,1843,1843
50,1640,1640
50,1700,1700
50,1846,1842
50,1807,1807
50,1997,1996
50,2108,2108
50,2144,2144
50,2048,2048
100,2582,2579
100,2763,2752
100,2678,2673
100,2408,2375
100,2154,2151
100,2366,2361
100,2438,2420
100,2478,2478
100,2452,2446
100,2674,2674
500,5189,5183
500,5259,5259
500,5917,5907
500,5915,5914
500,5670,5659
500,5390,5381
500,5388,5388
500,5254,5248
500,5634,5627
500,5955,5954
1000,7878,7878
1000,8748,8743
1000,8123,8120
1000,7870,7867
1000,8491,8491
1000,8011,8000
1000,8532,8524
1000,7799,7799
1000,7323,7317
1000,7470,7464
5000,17550,17550
5000,16739,16734
5000,17067,17067
5000,17471,17470
5000,17021,17021
5000,17678,17674
5000,17272,17272
5000,17016,17016
5000,17278,17277
5000,16915,16915
10000,22869,22868
10000,24268,24262
10000,23654,23654
10000,23019,23019
10000,22473,22473
10000,23820,23820
10000,23729,23727
10000,23476,23474
10000,23879,23879
10000,23616,23616
