N,Dynamic,Greedy
10,0.000270688,0.000006200
50,0.001298224,0.000029701
100,0.002251788,0.000062989
500,0.010885366,0.000395257
1000,0.021991729,0.000864457
5000,0.151241946,0.005354386
10000,0.409417840,0.011779992
