N,Dynamic value,Greedy value
10,249,249
10,265,239
10,125,125
10,145,96
10,190,190
10,120,120
10,181,181
10,298,298
10,122,119
10,161,154
50,587,587
50,506,506
50,531,531
50,554,554
50,629,617
50,363,363
50,781,781
50,755,755
50,724,707
50,571,560
100,721,696
100,978,974
100,880,870
100,601,601
100,489,468
100,730,724
100,711,693
100,805,805
100,601,587
100,765,762
500,1431,1431
500,1465,1465
500,1757,1757
500,1707,1700
500,1499,1499
500,1514,1514
500,1507,1497
500,1654,1654
500,1735,1735
500,1846,1839
1000,2349,2337
1000,2751,2734
1000,2260,2257
1000,2272,2272
1000,2488,2483
1000,2146,2146
1000,2427,2427
1000,2217,2217
1000,1976,1969
1000,2267,2267
5000,4640,4640
5000,4759,4759
5000,4662,4662
5000,4773,4771
5000,4782,4777
5000,4824,4824
5000,4459,4459
5000,4592,4592
5000,4412,4412
5000,4496,4496
10000,6258,6258
10000,5773,5773
10000,6158,6158
10000,5926,5926
10000,5510,5510
10000,6105,6105
10000,5708,5708
10000,6291,6291
10000,6104,6102
10000,5947,5947
